Date,SP500_Price,Dividend,Earnings,CPI,Long_Rate,Real_Price,Real_Dividend,Real_Earnings,CAPE
1958.09,48.96,1.73,2.88,28.9,3.76,518.616,18.325279411764704,30.506823529411758,15.931923184092845
1958.1,50.95,1.73667,2.88333,28.9,3.8,539.6953676470588,18.395932367647056,30.542097044117643,16.559803310351572
1958.11,52.5,1.74333,2.88667,29.0,3.74,554.1963362068965,18.402801881896547,30.472036911206892,16.988883579386336
1958.12,53.49,1.75,2.89,28.9,3.86,566.6006911764705,18.53713235294117,30.61275,17.35835736536996
1959.01,55.62,1.75667,2.96333,29.0,4.02,587.1314327586205,18.54362053189655,31.281269123275855,17.98033934299339
1959.02,54.77,1.76333,3.03667,28.9,3.96,580.1592794117646,18.678332338235293,32.16637354411764,17.759169263611422
1959.03,56.16,1.77,3.11,28.9,3.99,594.8830588235293,18.748985294117645,32.94313235294117,18.200871845485636
1959.04,57.1,1.77667,3.20667,29.0,4.12,602.7544913793103,18.75474294568965,33.849995531896546,18.430753048783426
1959.05,57.96,1.78333,3.30333,29.0,4.31,611.8327551724137,18.825046709482756,34.870350157758615,18.692721439594187
1959.06,57.46,1.79,3.4,29.1,4.34,604.4703144329895,18.830523195876285,35.76747422680411,18.44859139706648
1959.07,59.74,1.79667,3.41,29.2,4.4,626.3033167808219,18.83596217208904,35.74982106164383,19.090533975796514
1959.08,59.4,1.80333,3.42,29.2,4.43,622.7388184931506,18.905784403253424,35.85465924657534,18.95880364075021
1959.09,57.05,1.81,3.43,29.3,4.68,596.0605418088735,18.910947952218425,35.83676877133105,18.12329055675862
1959.1,57.0,1.81667,3.41667,29.4,4.53,593.5124999999999,18.916076374999996,35.57607637499999,18.02196244151543
1959.11,57.23,1.82333,3.40333,29.4,4.53,595.9073749999999,18.985423624999996,35.43717362499999,18.07178913057022
1959.12,59.06,1.83,3.39,29.4,4.69,614.9622499999999,19.054875,35.298375,18.624728977900112
1960.01,58.03,1.86667,3.39,29.3,4.72,606.2996186006825,19.503038239761086,35.41884726962457,18.338284994375567
1960.02,55.78,1.90333,3.39,29.4,4.49,580.8092499999999,19.818423624999994,35.298375,17.54527510894598
1960.03,55.02,1.94,3.39,29.4,4.25,572.8957499999999,20.200249999999997,35.298375,17.286020720522153
1960.04,55.73,1.94333,3.34667,29.5,4.28,578.3215449152541,20.166330663559318,34.72907526864407,17.429766947597205
1960.05,55.22,1.94667,3.30333,29.5,4.35,573.0291711864406,20.200990522881348,34.2793272737288,17.25617057872792
1960.06,57.26,1.95,3.26,29.6,4.15,592.1912381756755,20.16718327702702,33.715393581081074,17.823363817264745
1960.07,55.84,1.95,3.26333,29.6,3.9,577.5053918918918,20.16718327702702,33.749832924831075,17.376806472898117
1960.08,56.51,1.95,3.26667,29.6,3.8,584.4346292229728,20.16718327702702,33.78437569003378,17.582113039577674
1960.09,54.81,1.95,3.27,29.6,3.8,566.8529822635134,20.16718327702702,33.81881503378377,17.052015467817665
1960.1,53.73,1.95,3.27,29.8,3.89,551.9540461409393,20.03183305369127,33.59184312080536,16.605104536251027
1960.11,55.47,1.95,3.27,29.8,3.93,569.8286048657717,20.03183305369127,33.59184312080536,17.146088452419004
1960.12,56.8,1.95,3.27,29.8,3.84,583.4913422818789,20.03183305369127,33.59184312080536,17.562090833957125
1961.01,59.72,1.94667,3.21,29.8,3.84,613.4877281879194,19.997624846476505,32.975479026845626,18.470416986477176
1961.02,62.17,1.94333,3.15,29.8,3.78,638.655928691275,19.96331391191275,32.3591149328859,19.234014498298354
1961.03,64.12,1.94,3.09,29.8,3.74,658.6877617449663,19.92910570469798,31.742750838926167,19.84422527272557
1961.04,65.83,1.94,3.07,29.8,3.78,676.2541384228186,19.92910570469798,31.53729614093959,20.38284297575478
1961.05,66.5,1.94,3.05,29.8,3.71,683.136870805369,19.92910570469798,31.33184144295301,20.598606843297347
1961.06,65.62,1.94,3.03,29.8,3.88,674.0968640939595,19.92910570469798,31.126386744966435,20.332414551592294
1961.07,65.44,1.94667,3.03667,30.0,3.92,667.7661199999999,19.864307347499995,30.986939847499993,20.146643736827325
1961.08,67.79,1.95333,3.04333,29.9,4.04,694.059639632107,19.99893075501672,31.15876269481605,20.941688475215194
1961.09,67.26,1.96,3.05,30.0,3.98,686.3378549999999,20.000329999999998,31.12296249999999,20.70524304414726
1961.1,68.0,1.98,3.09667,30.0,3.92,693.8889999999998,20.204414999999994,31.599194847499994,20.92419014101079
1961.11,71.08,2.0,3.14333,30.0,3.94,725.3180899999999,20.408499999999997,32.07532515249999,21.857957721959675
1961.12,71.74,2.02,3.19,30.0,4.06,732.0528949999997,20.612585,32.551557499999994,22.041480198382267
1962.01,69.07,2.02667,3.25,30.0,4.08,704.8075474999998,20.680647347499995,33.16381249999999,21.19793140001523
1962.02,70.22,2.03333,3.31,30.1,4.04,714.161895348837,20.679675401162783,33.66385465116279,21.451687754873376
1962.03,70.29,2.04,3.37,30.1,3.93,714.8738197674417,20.74751162790697,34.274075581395344,21.44315856852624
1962.04,68.05,2.04667,3.40333,30.2,3.84,689.8005422185429,20.746422861754965,34.49844054884105,20.658336447649038
1962.05,62.99,2.05333,3.43667,30.2,3.87,638.5089809602648,20.813933098509928,34.83639719950331,19.089367498116655
1962.06,55.63,2.06,3.47,30.2,3.91,563.9030736754967,20.88154470198675,35.17425248344371,16.82757124479247
1962.07,56.97,2.06667,3.49,30.3,4.01,575.5803193069306,20.88001717574257,35.2602301980198,17.141325661322796
1962.08,58.52,2.07333,3.51,30.3,3.98,591.240306930693,20.94730460643564,35.46229455445544,17.571262631045535
1962.09,58.0,2.08,3.53,30.4,3.98,584.0590460526315,20.945565789473683,35.54704194078947,17.321461147465484
1962.1,56.17,2.09667,3.57667,30.4,3.93,565.6309761513157,21.113432415296053,36.01700807319078,16.739820967901334
1962.11,60.04,2.11333,3.62333,30.4,3.92,604.6018124999999,21.28119834128289,36.48687350575657,17.854386489497152
1962.12,62.64,2.13,3.67,30.4,3.86,630.783769736842,21.449064967105258,36.95683963815789,18.585836118439865
1963.01,65.06,2.13667,3.68333,30.4,3.83,655.1531299342104,21.516231757401314,37.09107251891447,19.259231693254055
1963.02,65.92,2.14333,3.69667,30.4,3.92,663.8133157894736,21.58329784786184,37.22540609950657,19.469191309671416
1963.03,65.67,2.15,3.71,30.5,3.93,659.1276368852458,21.57947950819672,37.23714836065573,19.288064606604838
1963.04,68.76,2.16667,3.75333,30.5,3.97,690.1418655737704,21.74679575163934,37.67205015,20.15007723822699
1963.05,70.14,2.18333,3.79667,30.5,3.93,703.9928803278688,21.914011625409834,38.10705230901639,20.50758586495262
1963.06,70.11,2.2,3.84,30.6,3.99,701.3921249999999,22.009166666666662,38.41599999999998,20.384149993841003
1963.07,69.07,2.20333,3.88,30.7,4.02,688.737017100977,21.970680930781754,38.6897296416938,19.969231885949643
1963.08,70.98,2.20667,3.92,30.7,4.0,707.7827345276872,22.003986007328987,39.08859283387621,20.472637900527687
1963.09,72.85,2.21,3.96,30.7,4.08,726.4295887622148,22.03719136807817,39.487456026058624,20.960360090705116
1963.1,73.03,2.23333,3.98,30.8,4.11,725.8601079545452,22.197523687499995,39.55803409090908,20.891344595411496
1963.11,72.62,2.25667,4.0,30.8,4.12,721.785034090909,22.429504721590906,39.756818181818176,20.720399335339714
1963.12,74.17,2.28,4.02,30.9,4.13,734.8050703883493,22.588048543689318,39.82629611650484,21.038599376737054
